Problem Size,Synchronisation,Number of Compute Workers,Repeat,Runtime,Reliable Fitness Rate
Small,Synchronous,8,4,3567,X
Small,Synchronous,16,4,2708,X
Small,Synchronous,24,4,2912,X
Small,Synchronous,32,4,3111,X
Small,Synchronous,40,4,3718,X
Small,Synchronous,48,4,4006,X
Small,Synchronous,56,4,2463,X
Small,Synchronous,64,4,2941,X
Small,Synchronous,0,5,12367,X
Small,Synchronous,1,5,14791,X
Small,Synchronous,4,5,5646,X
Small,Synchronous,8,5,3523,X
Small,Synchronous,16,5,2741,X
Small,Synchronous,24,5,2704,X
Small,Synchronous,32,5,2805,X
Small,Synchronous,40,5,3065,X
Small,Synchronous,48,5,3435,X
Small,Synchronous,56,5,2851,X
Small,Synchronous,64,5,4040,X
Small,Synchronous,0,6,12562,X
Small,Synchronous,1,6,15444,X
Small,Synchronous,4,6,5747,X
Small,Synchronous,8,6,3593,X
Small,Synchronous,16,6,2627,X
Small,Synchronous,24,6,2805,X
Small,Synchronous,32,6,3058,X
Small,Synchronous,40,6,3075,X
Small,Synchronous,48,6,2756,X
Small,Synchronous,56,6,4056,X
Small,Synchronous,64,6,3747,X
Small,Synchronous,0,7,12341,X
Small,Synchronous,1,7,15619,X
Small,Synchronous,4,7,5552,X
Small,Synchronous,8,7,3560,X
Small,Synchronous,16,7,2700,X
Small,Synchronous,24,7,2708,X
Small,Synchronous,32,7,2635,X
Small,Synchronous,40,7,2874,X
Small,Synchronous,48,7,3993,X
Small,Synchronous,56,7,3195,X
Small,Synchronous,64,7,4038,X
Small,Synchronous,0,8,12932,X
Small,Synchronous,1,8,14874,X
Small,Synchronous,4,8,5684,X
Small,Synchronous,8,8,3580,X
Small,Synchronous,16,8,2642,X
Small,Synchronous,24,8,2720,X
Small,Synchronous,32,8,2970,X
Small,Synchronous,40,8,3041,X
Small,Synchronous,48,8,2772,X
Small,Synchronous,56,8,3422,X
Small,Synchronous,64,8,3724,X
Small,Synchronous,0,9,12486,X
Small,Synchronous,1,9,14858,X
Small,Synchronous,4,9,5762,X
Small,Synchronous,8,9,3480,X
Small,Synchronous,16,9,2809,X
Small,Synchronous,24,9,2760,X
Small,Synchronous,32,9,2855,X
Small,Synchronous,40,9,3530,X
Small,Synchronous,48,9,3367,X
Small,Synchronous,56,9,3619,X
Small,Synchronous,64,9,3722,X
Small,Synchronous,0,10,12918,X
Small,Synchronous,1,10,15698,X
Small,Synchronous,4,10,5736,X
Small,Synchronous,8,10,3566,X
Small,Synchronous,16,10,2632,X
Small,Synchronous,24,10,2814,X
Small,Synchronous,32,10,2788,X
Small,Synchronous,40,10,3205,X
Small,Synchronous,48,10,3361,X
Small,Synchronous,56,10,3621,X
Small,Synchronous,64,10,3729,X
Large,Asynchronous,0,1,14442,X
Large,Asynchronous,1,1,14725,X
Large,Asynchronous,4,1,5698,X
Large,Asynchronous,8,1,3610,X
Large,Asynchronous,16,1,2709,X
Large,Asynchronous,24,1,2467,X
Large,Asynchronous,32,1,2441,X
Large,Asynchronous,40,1,2500,X
Large,Asynchronous,48,1,2671,X
Large,Asynchronous,56,1,2876,X
Large,Asynchronous,64,1,2945,X
Large,Asynchronous,0,2,14707,X
Large,Asynchronous,1,2,15029,X
Large,Asynchronous,4,2,5440,X
Large,Asynchronous,8,2,3680,X
Large,Asynchronous,16,2,2687,X
Large,Asynchronous,24,2,2359,X
Large,Asynchronous,32,2,2340,X
Large,Asynchronous,40,2,2504,X
Large,Asynchronous,48,2,2690,X
Large,Asynchronous,56,2,2838,X
Large,Asynchronous,64,2,2958,X
Large,Asynchronous,0,3,14898,X
Large,Asynchronous,1,3,14914,X
Large,Asynchronous,4,3,5860,X
Large,Asynchronous,8,3,3552,X
Large,Asynchronous,16,3,2673,X
Large,Asynchronous,24,3,2490,X
Large,Asynchronous,32,3,2445,X
Large,Asynchronous,40,3,2460,X
Large,Asynchronous,48,3,2653,X
Large,Asynchronous,56,3,2428,X
Large,Asynchronous,64,3,2489,X
Large,Asynchronous,0,4,14915,X
Large,Asynchronous,1,4,14755,X
Large,Asynchronous,4,4,5739,X
Large,Asynchronous,8,4,3608,X
Large,Asynchronous,16,4,2626,X
Large,Asynchronous,24,4,2477,X
Large,Asynchronous,32,4,2335,X
Large,Asynchronous,40,4,2337,X
Large,Asynchronous,48,4,2635,X
Large,Asynchronous,56,4,2840,X
Large,Asynchronous,64,4,3041,X
Large,Asynchronous,0,5,15307,X
Large,Asynchronous,1,5,14663,X
Large,Asynchronous,4,5,5919,X
Large,Asynchronous,8,5,3578,X
Large,Asynchronous,16,5,2723,X
Large,Asynchronous,24,5,2433,X
Large,Asynchronous,32,5,2469,X
Large,Asynchronous,40,5,2531,X
Large,Asynchronous,48,5,2700,X
Large,Asynchronous,56,5,2871,X
Large,Asynchronous,64,5,2953,X
Large,Asynchronous,0,6,15291,X
Large,Asynchronous,1,6,15295,X
Large,Asynchronous,4,6,5960,X
Large,Asynchronous,8,6,3628,X
Large,Asynchronous,16,6,2682,X
Large,Asynchronous,24,6,2511,X
Large,Asynchronous,32,6,2427,X
Large,Asynchronous,40,6,2545,X
Large,Asynchronous,48,6,2331,X
Large,Asynchronous,56,6,2828,X
Large,Asynchronous,64,6,2960,X
Large,Asynchronous,0,7,15692,X
Large,Asynchronous,1,7,14520,X
Large,Asynchronous,4,7,5708,X
Large,Asynchronous,8,7,3708,X
Large,Asynchronous,16,7,2661,X
Large,Asynchronous,24,7,2482,X
Large,Asynchronous,32,7,2455,X
Large,Asynchronous,40,7,2285,X
Large,Asynchronous,48,7,2703,X
Large,Asynchronous,56,7,2872,X
Large,Asynchronous,64,7,2960,X
Large,Asynchronous,0,8,15431,X
Large,Asynchronous,1,8,15142,X
Large,Asynchronous,4,8,5702,X
Large,Asynchronous,8,8,3698,X
Large,Asynchronous,16,8,2728,X
Large,Asynchronous,24,8,2266,X
Large,Asynchronous,32,8,2437,X
Large,Asynchronous,40,8,2476,X
Large,Asynchronous,48,8,2709,X
Large,Asynchronous,56,8,2410,X
Large,Asynchronous,64,8,2966,X
Large,Asynchronous,0,9,15592,X
Large,Asynchronous,1,9,15054,X
Large,Asynchronous,4,9,5933,X
Large,Asynchronous,8,9,3505,X
Large,Asynchronous,16,9,2699,X
Large,Asynchronous,24,9,2457,X
Large,Asynchronous,32,9,2452,X
Large,Asynchronous,40,9,2379,X
Large,Asynchronous,48,9,2653,X
Large,Asynchronous,56,9,2839,X
Large,Asynchronous,64,9,2972,X
Large,Asynchronous,0,10,15567,X
Large,Asynchronous,1,10,15165,X
Large,Asynchronous,4,10,5688,X
Large,Asynchronous,8,10,3507,X
Large,Asynchronous,16,10,2622,X
Large,Asynchronous,24,10,2466,X
Large,Asynchronous,32,10,2417,X
Large,Asynchronous,40,10,2504,X
Large,Asynchronous,48,10,2666,X
Large,Asynchronous,56,10,2697,X
Large,Asynchronous,64,10,3044,X
Large,Synchronous,0,1,15376,X
Large,Synchronous,1,1,18246,X
Large,Synchronous,4,1,6337,X
Large,Synchronous,8,1,3799,X
Large,Synchronous,16,1,2741,X
Large,Synchronous,24,1,2783,X
Large,Synchronous,32,1,2697,X
Large,Synchronous,40,1,2968,X
Large,Synchronous,48,1,3285,X
Large,Synchronous,56,1,3358,X
Large,Synchronous,64,1,3414,X
Large,Synchronous,0,2,15914,X
Large,Synchronous,1,2,17853,X
Large,Synchronous,4,2,6264,X
Large,Synchronous,8,2,3735,X
Large,Synchronous,16,2,2595,X
Large,Synchronous,24,2,2721,X
Large,Synchronous,32,2,2722,X
Large,Synchronous,40,2,2977,X
Large,Synchronous,48,2,3611,X
Large,Synchronous,56,2,2752,X
Large,Synchronous,64,2,2806,X
Large,Synchronous,0,3,15573,X
Large,Synchronous,1,3,18316,X
Large,Synchronous,4,3,6283,X
Large,Synchronous,8,3,3866,X
Large,Synchronous,16,3,2689,X
Large,Synchronous,24,3,2723,X
Large,Synchronous,32,3,2542,X
Large,Synchronous,40,3,2840,X
Large,Synchronous,48,3,3249,X
Large,Synchronous,56,3,3839,X
Large,Synchronous,64,3,2895,X
Large,Synchronous,0,4,15039,X
Large,Synchronous,1,4,18980,X
Large,Synchronous,4,4,6133,X
Large,Synchronous,8,4,3737,X
Large,Synchronous,16,4,2710,X
Large,Synchronous,24,4,2732,X
Large,Synchronous,32,4,2650,X
Large,Synchronous,40,4,2798,X
Large,Synchronous,48,4,4213,X
Large,Synchronous,56,4,3636,X
Large,Synchronous,64,4,2789,X
Large,Synchronous,0,5,16115,X
Large,Synchronous,1,5,17949,X
Large,Synchronous,4,5,6326,X
Large,Synchronous,8,5,3781,X
Large,Synchronous,16,5,2734,X
Large,Synchronous,24,5,2597,X
Large,Synchronous,32,5,2680,X
Large,Synchronous,40,5,3065,X
Large,Synchronous,48,5,3415,X
Large,Synchronous,56,5,2795,X
Large,Synchronous,64,5,3661,X
Large,Synchronous,0,6,15607,X
Large,Synchronous,1,6,18987,X
Large,Synchronous,4,6,6301,X
Large,Synchronous,8,6,3864,X
Large,Synchronous,16,6,2628,X
Large,Synchronous,24,6,2643,X
Large,Synchronous,32,6,2558,X
Large,Synchronous,40,6,2956,X
Large,Synchronous,48,6,2700,X
Large,Synchronous,56,6,3541,X
Large,Synchronous,64,6,3410,X
Large,Synchronous,0,7,16183,X
Large,Synchronous,1,7,17544,X
Large,Synchronous,4,7,6317,X
Large,Synchronous,8,7,3728,X
Large,Synchronous,16,7,2729,X
