Number of Compute Workers,Repeat,Iteration,Clustering Fitness,Locality Fitness
0,1,1.050000e+09,-4.353080e+09,-4.340450e+09
0,1,1.060000e+09,-4.346770e+09,-4.323660e+09
0,1,1.070000e+09,-4.340690e+09,-4.306910e+09
0,1,1.080000e+09,-4.334560e+09,-4.289200e+09
0,1,1.090000e+09,-4.329060e+09,-4.269500e+09
0,1,1.100000e+09,-4.323680e+09,-4.245970e+09
0,1,1.110000e+09,-4.318430e+09,-4.221470e+09
0,1,1.120000e+09,-4.313160e+09,-4.198270e+09
0,1,1.130000e+09,-4.308620e+09,-4.176270e+09
0,1,1.140000e+09,-4.305480e+09,-4.154770e+09
0,1,1.150000e+09,-4.302720e+09,-4.134300e+09
0,1,1.160000e+09,-4.300010e+09,-4.114440e+09
0,1,1.170000e+09,-4.297190e+09,-4.095710e+09
0,1,1.180000e+09,-4.294460e+09,-4.077180e+09
0,1,1.190000e+09,-4.291910e+09,-4.059800e+09
0,1,1.200000e+09,-4.289450e+09,-4.043210e+09
0,1,1.210000e+09,-4.286950e+09,-4.027450e+09
0,1,1.220000e+09,-4.284610e+09,-4.012000e+09
0,1,1.230000e+09,-4.282340e+09,-3.997110e+09
0,1,1.240000e+09,-4.280120e+09,-3.982550e+09
0,1,1.250000e+09,-4.277910e+09,-3.968340e+09
0,1,1.260000e+09,-4.275880e+09,-3.954650e+09
0,1,1.270000e+09,-4.273820e+09,-3.941220e+09
0,1,1.280000e+09,-4.271790e+09,-3.928020e+09
0,1,1.290000e+09,-4.269710e+09,-3.915440e+09
0,1,1.300000e+09,-4.267810e+09,-3.903120e+09
0,1,1.310000e+09,-4.265850e+09,-3.890920e+09
0,1,1.320000e+09,-4.263960e+09,-3.879240e+09
0,1,1.330000e+09,-4.262090e+09,-3.867720e+09
0,1,1.340000e+09,-4.260180e+09,-3.856420e+09
0,1,1.350000e+09,-4.258360e+09,-3.845260e+09
0,1,1.360000e+09,-4.256380e+09,-3.834160e+09
0,1,1.370000e+09,-4.254610e+09,-3.823100e+09
0,1,1.380000e+09,-4.252740e+09,-3.812250e+09
0,1,1.390000e+09,-4.250950e+09,-3.801680e+09
0,1,1.400000e+09,-4.249180e+09,-3.791270e+09
0,1,1.410000e+09,-4.247430e+09,-3.781240e+09
0,1,1.420000e+09,-4.245640e+09,-3.771280e+09
0,1,1.430000e+09,-4.243940e+09,-3.761410e+09
0,1,1.440000e+09,-4.242210e+09,-3.751790e+09
0,1,1.450000e+09,-4.240420e+09,-3.742540e+09
0,1,1.460000e+09,-4.238710e+09,-3.733240e+09
0,1,1.470000e+09,-4.236920e+09,-3.724280e+09
0,1,1.480000e+09,-4.235180e+09,-3.715430e+09
0,1,1.490000e+09,-4.233490e+09,-3.706810e+09
0,1,1.500000e+09,-4.231820e+09,-3.698270e+09
0,1,1.510000e+09,-4.230130e+09,-3.689750e+09
0,1,1.520000e+09,-4.228450e+09,-3.681010e+09
0,1,1.530000e+09,-4.226810e+09,-3.672460e+09
0,1,1.540000e+09,-4.225120e+09,-3.664140e+09
0,1,1.550000e+09,-4.223400e+09,-3.656240e+09
0,1,1.560000e+09,-4.221800e+09,-3.648270e+09
0,1,1.570000e+09,-4.220260e+09,-3.640390e+09
0,1,1.580000e+09,-4.218700e+09,-3.632290e+09
0,1,1.590000e+09,-4.217120e+09,-3.624190e+09
0,1,1.600000e+09,-4.215570e+09,-3.616420e+09
0,1,1.610000e+09,-4.214010e+09,-3.608740e+09
0,1,1.620000e+09,-4.212410e+09,-3.601320e+09
0,1,1.630000e+09,-4.210770e+09,-3.593620e+09
0,1,1.640000e+09,-4.209190e+09,-3.586050e+09
