Number of Compute Workers,Repeat,Iteration,Clustering Fitness,Locality Fitness
64,1,4500000000,-2.60559e+09,-7.88466e+08
64,1,4750000000,-2.60555e+09,-7.88665e+08
64,1,5000000000,-2.60558e+09,-7.86745e+08
64,2,0,-2.60513e+09,-1.30508e+10
64,2,250000000,-2.60818e+09,-1.04514e+09
64,2,500000000,-2.606e+09,-8.60093e+08
64,2,750000000,-2.60589e+09,-8.49892e+08
64,2,1000000000,-2.60571e+09,-8.51552e+08
64,2,1250000000,-2.6057e+09,-8.52253e+08
64,2,1500000000,-2.60567e+09,-8.51764e+08
64,2,1750000000,-2.60569e+09,-8.51061e+08
64,2,2000000000,-2.60564e+09,-8.49334e+08
64,2,2250000000,-2.60578e+09,-8.48406e+08
64,2,2500000000,-2.60574e+09,-8.50094e+08
64,2,2750000000,-2.60567e+09,-8.50517e+08
64,2,3000000000,-2.60591e+09,-8.51636e+08
64,2,3250000000,-2.60573e+09,-8.49627e+08
64,2,3500000000,-2.60575e+09,-8.52229e+08
64,2,3750000000,-2.60562e+09,-8.50605e+08
64,2,4000000000,-2.6058e+09,-8.49438e+08
64,2,4250000000,-2.60588e+09,-8.48874e+08
64,2,4500000000,-2.60558e+09,-7.77019e+08
64,2,4750000000,-2.60546e+09,-7.81561e+08
64,2,5000000000,-2.60555e+09,-7.80297e+08
64,3,0,-2.60513e+09,-1.30508e+10
64,3,250000000,-2.60825e+09,-1.06693e+09
64,3,500000000,-2.60581e+09,-8.51003e+08
64,3,750000000,-2.6059e+09,-8.58332e+08
64,3,1000000000,-2.60587e+09,-8.5992e+08
64,3,1250000000,-2.60589e+09,-8.58007e+08
64,3,1500000000,-2.60588e+09,-8.59597e+08
64,3,1750000000,-2.60573e+09,-8.58185e+08
64,3,2000000000,-2.6059e+09,-8.57583e+08
64,3,2250000000,-2.60599e+09,-8.61871e+08
64,3,2500000000,-2.60572e+09,-8.60932e+08
64,3,2750000000,-2.60572e+09,-8.59836e+08
64,3,3000000000,-2.60599e+09,-8.58597e+08
64,3,3250000000,-2.60574e+09,-8.61014e+08
64,3,3500000000,-2.60583e+09,-8.57847e+08
